# TEST CONFIGURATION BEGIN
# Dataset Stream:  -  n_targets: 1
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: result.csv - batch_size: 10 - pretrain_size: 101 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1]
191,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
391,0.956667,0.935000,0.996667,0.995000,0.721429,0.516729,0.978571,0.962825
591,0.946000,0.930000,0.994000,0.990000,0.620232,0.426230,0.961432,0.935733
791,0.935714,0.910000,0.990000,0.980000,0.586853,0.521277,0.941860,0.905393
991,0.932222,0.920000,0.990000,0.990000,0.574537,0.535289,0.943623,0.948941
1191,0.931818,0.930000,0.990000,0.990000,0.566292,0.527027,0.944234,0.946809
1391,0.926154,0.895000,0.990000,0.990000,0.539347,0.410444,0.946809,0.957192
1591,0.926000,0.925000,0.990667,0.995000,0.531935,0.477716,0.949932,0.971591
1791,0.930000,0.960000,0.990588,0.990000,0.547909,0.692780,0.947997,0.927954
1991,0.932105,0.950000,0.990526,0.990000,0.549004,0.557522,0.946376,0.927954
2191,0.929524,0.905000,0.990952,0.995000,0.519610,0.131627,0.948092,0.966975
2391,0.927391,0.905000,0.991739,1.000000,0.504305,0.342561,0.952929,1.000000
2591,0.927600,0.930000,0.992000,0.995000,0.503766,0.497126,0.954257,0.970220
2791,0.927037,0.920000,0.992222,0.995000,0.504721,0.515298,0.956146,0.975892
2991,0.925172,0.900000,0.992069,0.990000,0.504102,0.495586,0.956675,0.960792
3191,0.925484,0.930000,0.991613,0.985000,0.505482,0.525906,0.954200,0.918523
3391,0.926061,0.935000,0.991515,0.990000,0.514460,0.631937,0.954103,0.952663
3591,0.926857,0.940000,0.991429,0.990000,0.518915,0.594595,0.953679,0.946809
3791,0.928108,0.950000,0.991892,1.000000,0.525048,0.641705,0.956016,1.000000
3991,0.928718,0.940000,0.992308,1.000000,0.533817,0.668142,0.958587,1.000000
4191,0.929024,0.935000,0.992195,0.990000,0.538144,0.614243,0.958180,0.950884
4391,0.928837,0.925000,0.991860,0.985000,0.535472,0.476622,0.956273,0.914821
